date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:44	39272/39272	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2010:06:42%20GMT	https://2015.dconstruct.org/terms-and-conditions	C:/Work/Torque/deconstruct22/2015.dconstruct.org/terms-and-conditions.html	(from https://2015.dconstruct.org/)
15:36:44	39278/39278	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2010:06:43%20GMT	https://2015.dconstruct.org/code-of-conduct	C:/Work/Torque/deconstruct22/2015.dconstruct.org/code-of-conduct.html	(from https://2015.dconstruct.org/)
15:36:45	6338/6338	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af9b541-18c2%22	https://2015.dconstruct.org/assets/js/main.js	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/js/main.js	(from https://2015.dconstruct.org/)
15:36:45	9532/9532	---M--	200	added ('OK')	application/font-woff2	etag:%225930450b-253c%22	https://2015.dconstruct.org/assets/fonts/andes-webfont.woff2	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/fonts/andes-webfont.woff2	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:45	12152/12152	---M--	200	added ('OK')	application/font-woff	etag:%225930450b-2f78%22	https://2015.dconstruct.org/assets/fonts/andes-webfont.woff	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/fonts/andes-webfont.woff	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:46	10228/10228	---M--	200	added ('OK')	application/font-woff2	etag:%225930450b-27f4%22	https://2015.dconstruct.org/assets/fonts/lamplighter_script-webfont.woff2	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/fonts/lamplighter_script-webfont.woff2	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:46	12404/12404	---M--	200	added ('OK')	application/font-woff	etag:%225930450b-3074%22	https://2015.dconstruct.org/assets/fonts/lamplighter_script-webfont.woff	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/fonts/lamplighter_script-webfont.woff	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:47	33752/33752	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-83d8%22	https://2015.dconstruct.org/assets/img/intro-bg--400.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/intro-bg--400.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:47	16700/16700	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-413c%22	https://2015.dconstruct.org/assets/img/clouds.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/clouds.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:47	71019/71019	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-1156b%22	https://2015.dconstruct.org/assets/img/intro-bg--600.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/intro-bg--600.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:48	95233/95233	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-17401%22	https://2015.dconstruct.org/assets/img/intro-bg--800.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/intro-bg--800.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:48	125895/125895	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-1ebc7%22	https://2015.dconstruct.org/assets/img/intro-bg--1200.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/intro-bg--1200.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:49	185699/185699	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-2d563%22	https://2015.dconstruct.org/assets/img/intro-bg--1600.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/intro-bg--1600.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:49	194014/194014	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-2f5de%22	https://2015.dconstruct.org/assets/img/intro-bg--1400.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/intro-bg--1400.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:50	3280/3280	---M--	200	added ('OK')	image/png	etag:%225930450b-cd0%22	https://2015.dconstruct.org/assets/img/repeatablenoise_section2.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/repeatablenoise_section2.png	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:50	5082/5082	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-13da%22	https://2015.dconstruct.org/assets/img/large-gradient-background.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/large-gradient-background.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:50	424138/424138	---M--	200	added ('OK')	image/jpeg	etag:%225930450b-678ca%22	https://2015.dconstruct.org/assets/img/intro-bg.jpg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/intro-bg.jpg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:51	17943/17943	---M--	200	added ('OK')	image/png	etag:%225930450b-4617%22	https://2015.dconstruct.org/assets/img/orange-stripes-plain.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/orange-stripes-plain.png	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:51	25481/25481	---M--	200	added ('OK')	image/png	etag:%225930450b-6389%22	https://2015.dconstruct.org/assets/img/blue-stripes-plain.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/blue-stripes-plain.png	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:51	2478/2478	---M--	200	added ('OK')	image/png	etag:%225930450b-9ae%22	https://2015.dconstruct.org/assets/img/stars1.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/stars1.png	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
